Year,State,Vaccine,Coverage
2018,RS,Tríplice Viral D2,83.11
2019,RS,Tríplice Viral D2,87.6
2020,RS,Tríplice Viral D2,78.39
2021,RS,Tríplice Viral D2,56.03
2022,RS,Tríplice Viral D2,62.59
2018,MS,Tríplice Viral D2,97.62
2019,MS,Tríplice Viral D2,92.21
2020,MS,Tríplice Viral D2,67.61
2021,MS,Tríplice Viral D2,37.4
2022,MS,Tríplice Viral D2,49.56
2018,MT,Tríplice Viral D2,79.53
2019,MT,Tríplice Viral D2,83.71
2020,MT,Tríplice Viral D2,70.88
2021,MT,Tríplice Viral D2,41.97
2022,MT,Tríplice Viral D2,46.07
2018,GO,Tríplice Viral D2,76.76
2019,GO,Tríplice Viral D2,79.68
2020,GO,Tríplice Viral D2,68.92
2021,GO,Tríplice Viral D2,48.87
2022,GO,Tríplice Viral D2,52.56
2018,DF,Tríplice Viral D2,87.05
2019,DF,Tríplice Viral D2,86.8
2020,DF,Tríplice Viral D2,67.19
2021,DF,Tríplice Viral D2,54.67
2022,DF,Tríplice Viral D2,61.5
